Player,TEAM,PLAYOFF,PPG,TS%,USG%,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,SALARY
Duop Reath,POR,0,13.7,0.552,17,0.6,0.4,1,0.105,0.2,-0.5,-0.3,0.2,2048780
Dwight Powell,DAL,0,12.9,0.713,7.6,1.2,0.5,1.7,0.147,-1.5,1.5,0,0.3,4000000
Dyson Daniels,ATL,0,15.6,0.545,18.2,1.3,3.7,5,0.093,-1.1,2.6,1.5,2.3,6059520
Eric Gordon,PHI,0,10.8,0.591,14.4,0.7,0.2,0.9,0.053,-0.8,-0.8,-1.6,0.1,3303771
Evan Mobley,CLE,1,22.3,0.633,23.2,5.3,3.8,9,0.2,3.1,1.5,4.6,3.6,11227657
Franz Wagner,ORL,1,20.1,0.558,31,2.6,3.1,5.6,0.133,2.6,0.5,3.1,2.6,7007092
Garrison Mathews,ATL,0,11.2,0.606,15.9,1,0.5,1.5,0.087,-1.1,-0.5,-1.6,0.1,2230253
Gary Harris,ORL,1,6.9,0.524,9.5,0.1,0.9,1,0.067,-3.9,1.2,-2.7,-0.1,7500000
Gary Payton II,GSW,1,16.2,0.635,16.1,1.5,1.5,3,0.155,-0.5,2,1.4,0.8,9130000
Gary Trent Jr.,MIL,1,11.7,0.591,17.1,1.6,1.7,3.3,0.084,-1.2,-0.4,-1.6,0.2,2087519
Georges Niang,ATL,0,11.2,0.607,17.9,1.5,1.4,2.9,0.081,-1.1,-1.2,-2.3,-0.1,8500000
Goga Bitadze,ORL,1,19.2,0.631,14.3,2.8,3,5.8,0.195,-0.3,2.8,2.5,1.6,9057971
Guerschon Yabusele,PHI,0,14.7,0.616,16.3,2.9,1,3.9,0.099,0.1,-1.1,-1,0.5,2087519
