TEAM,PLAYOFF
BOS,1
MIA,1
CLE,1
IND,1
MIL,1
DET,1
NYK,1
ORL,1
PHI,0
BRK,0
TOR,0
CHO,0
ATL,0
WAS,0
CHI,0
GSW,1
HOU,1
MIN,1
LAL,1
LAC,1
DEN,1
MEM,1
OKC,1
NOP,0
DAL,0
POR,0
SAC,0
SAS,0
PHO,0
UTA,0
